Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,is_sequential_from_prev,sequence_break,sequence_id,sequence_length,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate,ego_Local_Y,distance_from_ego_y,is_ego,scenario_label,window_valid,expected_window_size
1052,2765,286.0,1118847255400,57.068,419.668,6451381.073,1873040.726,15.0,5.9,2,40.81,1.99,5,,,,,,,,,57.41,1.41,us-101,1118847255.4,True,0,0,217,1042.0,57.40499999999997,39.15,1.6600000000000037,1.406640529282038,34.58132530120473,False,False,False,True,419.668,0.0,True,lane_change,True,50
1062,2765,486.0,1118847255400,42.388,451.192,6451414.231,1873030.132,14.0,5.4,2,34.56,-9.7,4,,,,,,,,,72.66,2.1,us-101,1118847255.4,True,0,0,286,1059.0,72.65800000000002,25.36,9.200000000000005,2.1023726851851854,7.897608695652173,False,True,False,False,419.668,31.524,False,lane_change,True,50
1052,2766,286.0,1118847255500,56.832,423.763,6451384.259,1873038.111,15.0,5.9,2,40.97,1.2,5,,,,,,,,,57.71,1.41,us-101,1118847255.5,True,0,0,217,1042.0,57.70800000000003,47.68,-6.710000000000001,1.4085428362216263,inf,False,False,False,True,423.763,0.0,True,lane_change,True,50
1062,2766,486.0,1118847255500,42.346,454.6,6451416.777,1873027.842,14.0,5.4,2,33.45,-11.2,4,,,,,,,,,71.75,2.14,us-101,1118847255.5,True,0,0,286,1059.0,71.745,25.05,8.400000000000002,2.144843049327354,8.541071428571428,False,True,False,False,423.763,30.837000000000046,False,lane_change,True,50
1052,2767,286.0,1118847255600,56.619,427.873,6451387.422,1873035.485,15.0,5.9,2,41.05,0.24,5,,,,,,,,,58.86,1.43,us-101,1118847255.6,True,0,0,217,1042.0,58.85900000000004,57.61,-16.560000000000002,1.433836784409258,inf,False,False,False,True,427.873,0.0,True,lane_change,True,50
1062,2767,486.0,1118847255600,42.26,457.891,6451419.242,1873025.688,14.0,5.4,2,32.27,-11.13,4,,,,,,,,,70.94,2.2,us-101,1118847255.6,True,0,0,286,1059.0,70.94,24.94,7.330000000000002,2.198326619150914,9.678035470668483,False,True,False,False,427.873,30.01800000000003,False,lane_change,True,50
1052,2768,286.0,1118847255700,56.408,431.981,6451390.585,1873032.858,15.0,5.9,2,41.06,-0.03,5,,,,,,,,,61.0,1.49,us-101,1118847255.7,True,0,0,217,1042.0,61.00200000000001,67.68,-26.620000000000005,1.4856794934242574,inf,False,False,False,True,431.981,0.0,True,lane_change,True,50
1062,2768,486.0,1118847255700,42.111,461.012,6451421.632,1873023.687,14.0,5.4,2,31.6,-3.23,4,,,,,,,,,70.31,2.22,us-101,1118847255.7,True,0,0,286,1059.0,70.30900000000003,24.94,6.66,2.2249683544303807,10.55690690690691,False,True,False,False,431.981,29.031000000000006,False,lane_change,True,50
1052,2769,286.0,1118847255800,56.196,436.085,6451393.747,1873030.232,15.0,5.9,2,41.08,0.32,5,,,,,,,,,64.06,1.56,us-101,1118847255.8,True,0,0,217,1042.0,64.05900000000003,76.19,-35.11,1.559371957156768,inf,False,False,False,True,436.085,0.0,True,lane_change,True,50
1062,2769,486.0,1118847255800,42.037,464.108,6451423.916,1873021.683,14.0,5.4,2,31.59,3.84,4,,,,,,,,,69.7,2.21,us-101,1118847255.8,True,0,0,286,1059.0,69.69599999999997,25.07,6.52,2.2062678062678054,10.689570552147236,False,False,False,False,436.085,28.023000000000025,False,lane_change,True,50
1052,2770,286.0,1118847255900,55.983,440.2,6451396.91,1873027.606,15.0,5.9,2,41.06,-0.49,5,,,,,,,,,118.99,2.9,us-101,1118847255.9,True,0,0,217,1051.0,118.98600000000005,47.17,-6.109999999999999,2.897856794934244,inf,False,False,False,False,440.2,0.0,True,lane_change,True,50
1062,2770,486.0,1118847255900,42.015,467.269,6451426.269,1873019.545,14.0,5.4,2,31.98,5.56,4,,,,,,,,,69.03,2.16,us-101,1118847255.9,True,0,0,286,1059.0,69.02599999999995,25.51,6.469999999999999,2.1584115071919934,10.66862442040185,False,False,False,False,440.2,27.069000000000017,False,lane_change,True,50
1052,2771,286.0,1118847256000,55.783,444.32,6451400.069,1873024.967,15.0,5.9,2,40.85,-3.11,5,,,,,,,,,119.61,2.93,us-101,1118847256.0,True,0,0,217,1051.0,119.60999999999996,47.52,-6.670000000000002,2.928029375764993,inf,False,True,False,False,444.32,0.0,True,lane_change,True,50
